Nom,Type d'arme,Technologie,Iconic,Lien
Ambition,Pistol,Tech,X,https://cyberpunk.fandom.com/wiki/Ambition
Apparition,Pistol,Tech,X,https://cyberpunk.fandom.com/wiki/Apparition
AR Raygun Supreme 9000,Pistol,Power,,https://cyberpunk.fandom.com/wiki/AR_Raygun_Supreme_9000
Arasaka HJKE-11 Yukimura,Pistol,Smart,,https://cyberpunk.fandom.com/wiki/Arasaka_HJKE-11_Yukimura
Arasaka JKE-X2 Kenshin,Pistol,Tech,,https://cyberpunk.fandom.com/wiki/Arasaka_JKE-X2_Kenshin
Arasaka Tamayura,Pistol,Power,,https://cyberpunk.fandom.com/wiki/Arasaka_Tamayura
Budget Arms Slaught-O-Matic,Pistol,Power,,https://cyberpunk.fandom.com/wiki/Budget_Arms_Slaught-O-Matic
Catahoula,Pistol,Power,X,https://cyberpunk.fandom.com/wiki/Catahoula
Chaos,Pistol,Tech,X,https://cyberpunk.fandom.com/wiki/Chaos
Cheetah,Pistol,Power,X,https://cyberpunk.fandom.com/wiki/Cheetah
Constitutional Arms Liberty,Pistol,Power,,https://cyberpunk.fandom.com/wiki/Constitutional_Arms_Liberty
Constitutional Arms Unity,Pistol,Power,,https://cyberpunk.fandom.com/wiki/Constitutional_Arms_Unity
Crimestopper,Pistol,Smart,X,https://cyberpunk.fandom.com/wiki/Crimestopper
Death and Taxes,Pistol,Power,X,https://cyberpunk.fandom.com/wiki/Death_and_Taxes
Dying Night,Pistol,Power,X,https://cyberpunk.fandom.com/wiki/Dying_Night
Genjiroh,Pistol,Smart,X,https://cyberpunk.fandom.com/wiki/Genjiroh
HA-4 Grit,Pistol,Tech,,https://cyberpunk.fandom.com/wiki/HA-4_Grit
Her Majesty,Pistol,Power,X,https://cyberpunk.fandom.com/wiki/Her_Majesty
A-22B Chao,Pistol,Smart,,https://cyberpunk.fandom.com/wiki/Kang_Tao_A-22B_Chao
Kappa x-MOD2,Pistol,Smart,X,https://cyberpunk.fandom.com/wiki/Kappa_x-MOD2
Kongou,Pistol,Power,X,https://cyberpunk.fandom.com/wiki/Kongou
La Chingona Dorada,Pistol,Power,X,https://cyberpunk.fandom.com/wiki/La_Chingona_Dorada
Lexington x-MOD2,Pistol,Power,X,https://cyberpunk.fandom.com/wiki/Lexington_x-MOD2
Lizzie,Pistol,Tech,X,https://cyberpunk.fandom.com/wiki/Lizzie
Malorian Arms 3516 (2077),Pistol,Power,X,https://cyberpunk.fandom.com/wiki/Malorian_Arms_3516_(2077)
Militech M-10AF Lexington,Pistol,Power,,https://cyberpunk.fandom.com/wiki/Militech_M-10AF_Lexington
Militech M-76e Omaha,Pistol,Tech,,https://cyberpunk.fandom.com/wiki/Militech_M-76e_Omaha
Militech Ticon,Pistol,Tech,,https://cyberpunk.fandom.com/wiki/Militech_Ticon
Ogou,Pistol,Smart,X,https://cyberpunk.fandom.com/wiki/Ogou
Pariah,Pistol,Tech,X,https://cyberpunk.fandom.com/wiki/Pariah
Plan B,Pistol,Power,X,https://cyberpunk.fandom.com/wiki/Plan_B
Pride,Pistol,Power,X,https://cyberpunk.fandom.com/wiki/Pride
Riskit,Pistol,Power,X,https://cyberpunk.fandom.com/wiki/Riskit
Rook,Pistol,Power,X,https://cyberpunk.fandom.com/wiki/Rook
Scorch,Pistol,Tech,X,https://cyberpunk.fandom.com/wiki/Scorch
Seraph,Pistol,Power,X,https://cyberpunk.fandom.com/wiki/Seraph
Skippy,Pistol,Smart,X,https://cyberpunk.fandom.com/wiki/Skippy
Tsunami Kappa,Pistol,Smart,,https://cyberpunk.fandom.com/wiki/Tsunami_Kappa
Tsunami Nue,Pistol,Power,,https://cyberpunk.fandom.com/wiki/Tsunami_Nue
Amnesty,Revolver,Power,X,https://cyberpunk.fandom.com/wiki/Amnesty
Archangel,Revolver,Power,X,https://cyberpunk.fandom.com/wiki/Archangel
Bald Eagle,Revolver,Power,X,https://cyberpunk.fandom.com/wiki/Bald_Eagle
Comrade's Hammer,Revolver,Tech,X,https://cyberpunk.fandom.com/wiki/Comrade%27s_Hammer
Crash,Revolver,Power,X,https://cyberpunk.fandom.com/wiki/Crash
Darra Polytechnic DR-12 Quasar,Revolver,Tech,,https://cyberpunk.fandom.com/wiki/Darra_Polytechnic_DR-12_Quasar
DR5 Nova,Revolver,Power,,https://cyberpunk.fandom.com/wiki/Darra_Polytechnic_DR-5_Nova
Doom Doom,Revolver,Power,X,https://cyberpunk.fandom.com/wiki/Doom_Doom
Gris-Gris,Revolver,Tech,X,https://cyberpunk.fandom.com/wiki/Gris-Gris
Laika,Revolver,Tech,X,https://cyberpunk.fandom.com/wiki/Laika
Malorian Overture,Revolver,Power,,https://cyberpunk.fandom.com/wiki/Malorian_Overture
Mancinella,Revolver,Power,X,https://cyberpunk.fandom.com/wiki/Mancinella
Ol' Reliable,Revolver,Power,X,https://cyberpunk.fandom.com/wiki/Ol%27_Reliable
Rosco,Revolver,Power,X,https://cyberpunk.fandom.com/wiki/Rosco
Taigan,Revolver,Power,X,https://cyberpunk.fandom.com/wiki/Taigan
Techtronika Metel,Revolver,Power,,https://cyberpunk.fandom.com/wiki/Techtronika_Metel
Techtronika RT-46 Burya,Revolver,Tech,,https://cyberpunk.fandom.com/wiki/Techtronika_RT-46_Burya
Arasaka Senkoh LX,Submachine Gun,Tech,,https://cyberpunk.fandom.com/wiki/Arasaka_Senkoh_LX
Arasaka Shigure,Submachine Gun,Power,,https://cyberpunk.fandom.com/wiki/Arasaka_Shigure
Arasaka TKI-20 Shingen,Submachine Gun,Smart,,https://cyberpunk.fandom.com/wiki/Arasaka_TKI-20_Shingen
Budget Arms Guillotine,Submachine Gun,Power,,https://cyberpunk.fandom.com/wiki/Budget_Arms_Guillotine
Buzzsaw,Submachine Gun,Power,X,https://cyberpunk.fandom.com/wiki/Buzzsaw
Chesapeake,Submachine Gun,Power,X,https://cyberpunk.fandom.com/wiki/Chesapeake
DS1 Pulsar,Submachine Gun,Power,,https://cyberpunk.fandom.com/wiki/Darra_Polytechnic_DS1_Pulsar
